ghsa,cve,severity,cvss,cvss_version,cvss_source,published,global_published,globally_indexed,repo,project_id,org,role,co_credited,summary,advisory_url,cve_url,class,ecosystem,cwe,last_checked,tldr,fixed_in,fix_pr
GHSA-9cvr-5wv9-2gxr,,high,7.6,4.0,maintainer advisory,2026-08-31,,no,FlowiseAI/Flowise,FlowiseAI/Flowise,FlowiseAI,reporter,,SSRF bypass via Cheerio/Playwright/Puppeteer document loaders — not covered by httpSecurity deny list,https://github.com/FlowiseAI/Flowise/security/advisories/GHSA-9cvr-5wv9-2gxr,,SSRF,JavaScript,CWE-918,2026-09-06,"Cheerio, Playwright, and Puppeteer document loaders fetched URLs outside Flowise’s shared HTTP-security checks. A user able to configure these loaders could bypass the denylist and request internal destinations; the earlier HTTP-node fix did not cover them.",flowise: 3.1.4; flowise-components: 3.1.4,
GHSA-jp5f-qr64-c9vw,CVE-2026-73549,medium,5.3,3.1,maintainer advisory,2026-08-26,,no,envoyproxy/envoy,envoyproxy/envoy,envoyproxy,reporter,antoniovleonti (remediation_developer);phlax (coordinator);nezdolik (coordinator),Incomplete fix for CVE-2026-26310: copyInternetAddressAndPort crashes on scoped IPv6 addresses in ORIGINAL_DST clusters,https://github.com/envoyproxy/envoy/security/advisories/GHSA-jp5f-qr64-c9vw,https://www.cve.org/CVERecord?id=CVE-2026-73549,Denial of service,C++,CWE-754,2026-09-06,"Scoped IPv6 addresses could crash copyInternetAddressAndPort in ORIGINAL_DST or transparent-proxy paths. Exploitation depends on original-destination socket handling; the advisory reports source analysis, not a live reproduced exploit, and extends an earlier IPv6 fix.","Envoy: 1.39.1, 1.38.4, 1.37.6, 1.36.10",
GHSA-2j37-g5f6-h55p,CVE-2026-9316,high,,,,2026-08-26,,no,NangoHQ/nango,NangoHQ/nango,NangoHQ,finder,geo-chen (finder);KatrielMoses (finder);sajdakabir (finder);endscene665 (finder),Nango proxy SSRF via base-url-override header (empty default denylist),https://github.com/NangoHQ/nango/security/advisories/GHSA-2j37-g5f6-h55p,https://www.cve.org/CVERecord?id=CVE-2026-9316,SSRF,JavaScript,CWE-918;CWE-1188,2026-09-06,The proxy accepted a base-url-override header while its default network denylist was empty. Callers with a valid secret key or environment:proxy scope could direct authenticated proxy requests to private-network and metadata addresses.,NangoHQ/nango: commit 83e0a0c and later,
GHSA-vv4x-5gvr-chh8,,medium,5.3,3.1,maintainer advisory,2026-08-19,,no,russellhaering/gosaml2,russellhaering/gosaml2,russellhaering,reporter,tonghuaroot (reporter),Unsigned SAML LogoutResponse acceptance (incomplete fix for GHSA-pcgw-qcv5-h8ch),https://github.com/russellhaering/gosaml2/security/advisories/GHSA-vv4x-5gvr-chh8,,Verification bypass,Go,CWE-347,2026-09-06,The earlier LogoutRequest signature fix did not cover LogoutResponse validation. Applications using the affected POST-response validator could accept an unsigned SAML logout response; independent reports were combined in the published advisory.,github.com/russellhaering/gosaml2: v0.12.0,
GHSA-29rf-f4vv-pvq6,CVE-2026-35511,critical,8.7,4.0,GitHub global database,2026-08-13,2026-08-14,yes,authorizerdev/authorizer,authorizerdev/authorizer,authorizerdev,reporter,,Critical: Zero-click account takeover via OAuth identity linking to unverified email accounts,https://github.com/authorizerdev/authorizer/security/advisories/GHSA-29rf-f4vv-pvq6,https://www.cve.org/CVERecord?id=CVE-2026-35511,Trust boundary violation,Go,CWE-287,2026-09-06,OAuth login linked accounts by email without requiring the existing account to verify that address. An attacker who registered a victim’s email retained password access when the victim later signed in through an OAuth provider.,github.com/authorizerdev/authorizer: 2.4.0-rc.16,
GHSA-m8q3-73v4-wvg7,,medium,6.4,3.1,maintainer advisory,2026-08-10,,no,systemd/systemd,systemd/systemd,systemd,reporter,,udev: local root execution via malicious iscsi devices and unsanitized kernel output,https://github.com/systemd/systemd/security/advisories/GHSA-m8q3-73v4-wvg7,,Property injection,C,CWE-74,2026-09-06,"A malicious iSCSI or USB device could inject udev properties through unsanitized SCSI identifiers. The earlier serial-number fix missed equivalent fields, allowing device data to request a systemd unit running as root.",udev: 261 260.2 259.6 258.8,
GHSA-fvwj-92vj-fg8c,,critical,9.0,3.1,maintainer advisory,2026-08-05,,no,nasa/spacewasm,nasa/spacewasm,nasa,reporter,,Result-typed `if` without `else` causes stack desynchronization and host-memory access in SpaceWasm v0.4.0,https://github.com/nasa/spacewasm/security/advisories/GHSA-fvwj-92vj-fg8c,,Validation bypass,Rust,CWE-20,2026-09-06,"A result-typed WebAssembly if without an else could pass validation despite producing no value. Repeated constructs desynchronized the operand stack, exposing host-memory values and allowing writes into another module’s linear memory.",spacewasm: 0.5.2,
GHSA-wjrh-4j52-c664,CVE-2026-65956,medium,10,4.0,CVE CNA record,2026-08-04,,no,1Panel-dev/KubePi,1Panel-dev/KubePi,1Panel-dev,reporter,,Unauthenticated SSO/OIDC configuration allows admin account takeover and SSRF,https://github.com/1Panel-dev/KubePi/security/advisories/GHSA-wjrh-4j52-c664,https://www.cve.org/CVERecord?id=CVE-2026-65956,Missing authentication,Go,CWE-306,2026-09-06,"SSO configuration and connectivity-test endpoints were exposed outside the intended management boundary. Depending on authentication settings and deployment configuration, unauthenticated or low-privilege callers could alter SSO settings, potentially take over accounts, or trigger server-side requests.",github.com/1Panel-dev/kubepi: >= 2.0.0,
GHSA-vpj5-m56f-8h3f,,medium,6.4,3.1,maintainer advisory,2026-07-30,,no,charmbracelet/soft-serve,charmbracelet/soft-serve,charmbracelet,reporter,tonghuaroot (reporter);456789TZ (reporter);thientd (reporter),SSRF in repo import / mirror sync via unvalidated remote URL,https://github.com/charmbracelet/soft-serve/security/advisories/GHSA-vpj5-m56f-8h3f,,SSRF,Go,CWE-918,2026-09-06,"Repository imports and recurring mirror syncs accepted remote URLs without the existing SSRF validation. A user with a registered SSH key could make the server request loopback, private-network, or metadata endpoints.",github.com/charmbracelet/soft-serve: 0.12.0,
GHSA-hc8v-wwc9-vgxm,CVE-2026-71556,high,7.1,3.1,maintainer advisory,2026-07-30,2026-08-07,yes,go-git/go-git,go-git/go-git,go-git,reporter,HughLewis20 (reporter),Worktree operations may follow symlinks,https://github.com/go-git/go-git/security/advisories/GHSA-hc8v-wwc9-vgxm,https://www.cve.org/CVERecord?id=CVE-2026-71556,Symlink following,Go,CWE-59,2026-09-06,"Worktree writes checked path strings but followed existing symlinks. An attacker able to plant a symlink and trigger a write could escape the worktree or modify Git metadata, including configuration beneath .git.",github.com/go-git/go-git/v5: 5.19.2; github.com/go-git/go-git/v6: 6.0.0-alpha.5,
GHSA-r5f5-cv78-6qv8,,high,8.2,3.1,maintainer advisory,2026-07-27,,no,nasa/spacewasm,nasa/spacewasm,nasa,reporter,,Successful void C host calls inject operand-stack values in SpaceWasm v0.4.0,https://github.com/nasa/spacewasm/security/advisories/GHSA-r5f5-cv78-6qv8,,Type confusion,Rust,CWE-670,2026-09-06,The C host-call trampoline pushed a result even for functions declared void. Guest modules invoking these functions could corrupt operand-stack state; repeated calls advanced the stack beyond its allocation and crashed the process.,spacewasm_c_api: 0.4.3,
GHSA-3pfv-m69p-5fv5,CVE-2026-73081,high,8.7,4.0,maintainer advisory,2026-07-17,,no,activepieces/activepieces,activepieces/activepieces,activepieces,reporter,p80n-sec (reporter);Aviral2642 (reporter),Remote Code Execution via Command Injection in Code Step Name,https://github.com/activepieces/activepieces/security/advisories/GHSA-3pfv-m69p-5fv5,https://www.cve.org/CVERecord?id=CVE-2026-73081,Command injection,JavaScript,,2026-09-06,A flow Code step’s name reached a shell-invoked bun build command without sufficient validation. An authenticated user able to create a flow could execute commands as the worker user before sandboxing began.,activepieces: 0.80.0,
GHSA-pj59-g5vv-74q4,CVE-2026-56671,high,7.5,3.1,maintainer advisory,2026-07-15,,no,Comfy-Org/ComfyUI,Comfy-Org/ComfyUI,Comfy-Org,finder,kartikganesh (finder);yd1ng (finder);sfwani (finder);icysun (finder);Tulgaaaaaaaa (finder),Path traversal in /experiment/models/preview allows arbitrary image file read,https://github.com/Comfy-Org/ComfyUI/security/advisories/GHSA-pj59-g5vv-74q4,https://www.cve.org/CVERecord?id=CVE-2026-56671,Path traversal,Python,CWE-22,2026-09-06,"The unauthenticated model-preview route accepted paths outside its model directory. Because responses were decoded and re-encoded as images, disclosure was limited to image-decodable files, with a separate oracle revealing whether other files existed.",ComfyUI: 0.28.0,
