id,project_id,project,org,kind,advisory,date,date_kind,credit_text,what,url,verified,reference_label,reference_url,additional_links,notes
upstream-01,apache/httpd,Apache HTTP Server,apache,authored_merged,,2026-04-16,committed,Submitted by: Koda Reef,Integer overflow guards in four core escaping functions,https://github.com/apache/httpd/commit/d11e440,2026-09-06,,,[],
upstream-02,c-ares/c-ares,c-ares,c-ares,authored_merged,,2026-03-22,merged,PR merged,Overflow checks in `ares_buf_ensure_space()`,https://github.com/c-ares/c-ares/pull/1094,2026-09-06,Node.js release notes,https://github.com/nodejs/node/blob/main/deps/cares/RELEASE-NOTES.md,[],
upstream-03,bufbuild/protoc-gen-validate,protoc-gen-validate,bufbuild,authored_merged,,2026-05-27,merged,PR merged,Malformed UTF-8 length validation bypass,https://github.com/bufbuild/protoc-gen-validate/pull/1379,2026-09-06,,,[],
upstream-04,cure53/DOMPurify,DOMPurify,cure53,authored_merged_own_advisory,GHSA-h7mw-gpvr-xq4m,2026-04-11,merged,PR merged,Fix for CVE-2026-41240,https://github.com/cure53/DOMPurify/pull/1230,2026-09-06,CVE-2026-41240,https://github.com/advisories/GHSA-h7mw-gpvr-xq4m,[],
upstream-05,filebrowser/filebrowser,File Browser,filebrowser,authored_merged_own_advisory,GHSA-v9w4-gm2x-6rvf,2026-04-04,merged,PR merged,Share owner permissions checked on public share access,https://github.com/filebrowser/filebrowser/pull/5888,2026-09-06,,,[],
upstream-06,filebrowser/filebrowser,File Browser,filebrowser,authored_merged_own_advisory,GHSA-5q48-q4fm-g3m6,2026-04-04,merged,PR merged,Directory boundaries enforced in access-rule path matching,https://github.com/filebrowser/filebrowser/pull/5889,2026-09-06,,,[],
upstream-07,filebrowser/filebrowser,File Browser,filebrowser,authored_merged_own_advisory,GHSA-7526-j432-6ppp,2026-04-04,merged,PR merged,Default permissions restricted for proxy-auth auto-provisioned users,https://github.com/filebrowser/filebrowser/pull/5890,2026-09-06,,,[],
upstream-08,filebrowser/filebrowser,File Browser,filebrowser,authored_merged_own_advisory,GHSA-67cg-cpj7-qgc9,2026-04-04,merged,PR merged,Download permission checked in the resource handler,https://github.com/filebrowser/filebrowser/pull/5891,2026-09-06,,,[],
upstream-09,richlegrand/bitbang-cli,bitbang-cli,richlegrand,authored_merged,,2026-08-01,merged,PR merged,Reachable dnsmessage panic in mDNS response parsing (GO-2026-5942); golang.org/x/net bumped to v0.57.0,https://github.com/richlegrand/bitbang-cli/pull/10,2026-09-06,,,[],
upstream-10,kjur/jsrsasign,jsrsasign,kjur,release_note,,2026-04-13,released,reported by Koda Reef,"ASN.1 parser infinite loop in `getChildIdx`, fixed in 11.1.2",https://github.com/kjur/jsrsasign/releases/tag/11.1.2,2026-09-06,,,"[{""label"":""Release archive"",""url"":""https://github.com/kjur/jsrsasign/releases""}]",
upstream-11,kjur/jsrsasign,jsrsasign,kjur,release_note,,2026-04-13,released,"reported by Koda Reef, Nicholas Carlini and @Kr0emer","DSA universal signature forgery from a missing FIPS 186-4 §4.7 boundary check, fixed in 11.1.2",https://github.com/kjur/jsrsasign/releases/tag/11.1.2,2026-09-06,,,"[{""label"":""Release archive"",""url"":""https://github.com/kjur/jsrsasign/releases""}]",
upstream-12,GNOME/glib,GNOME GLib,GNOME,commit_credit,,2026-04-29,committed,Based on a report by Koda Reef,D-Bus message length integer arithmetic,https://github.com/GNOME/glib/commit/578a488,2026-09-06,,,[],
upstream-13,cloudnative-pg/cloudnative-pg,CloudNativePG,cloudnative-pg,commit_credit,,2026-04-29,committed,Reported-by: Koda Reef,Escaping in PostgreSQL configuration values,https://github.com/cloudnative-pg/cloudnative-pg/commit/d65da47,2026-09-06,,,[],
upstream-14,cloudnative-pg/cloudnative-pg,CloudNativePG,cloudnative-pg,commit_credit,,2026-05-07,committed,Suggested-by: Koda Reef,Recovery target validation,https://github.com/cloudnative-pg/cloudnative-pg/commit/caf2077,2026-09-06,,,[],
upstream-15,lighttpd/lighttpd1.4,lighttpd,lighttpd,commit_credit,,2026-05-04,committed,(thx kodareef5),`mod_maxminddb` snprintf return-value bound,https://github.com/lighttpd/lighttpd1.4/commit/904a267,2026-09-06,,,[],
upstream-16,steveukx/git-js,simple-git,steveukx,changelog,,,,Thanks to @kodareef5 for identifying the need to block GIT_CONFIG_COUNT environment variables and --template / merge related config,Blocked `GIT_CONFIG_COUNT` environment variables and `--template` / `merge` configuration keys in 3.36.0,https://github.com/steveukx/git-js/blob/main/simple-git/CHANGELOG.md,2026-09-06,,,[],
upstream-17,nginx/nginx,NGINX,nginx,changelog,,,,Thanks to kodareef5,Constant-time `secure_link` hash comparison in 1.31.2,https://nginx.org/en/CHANGES,2026-09-06,,,[],
